scenario,var,id,val,pos
0.05,SALB,MVPI000001,0.1365,pd
0.05,SLU1,MVPI000002,8.4,pd
0.05,SLDR,MVPI000003,0.63,pd
0.05,SLRO,MVPI000004,78.75,pd
0.05,SLNF,MVPI000005,1,pd
0.05,SLPF,MVPI000006,1,pd
0.05,SLB,MVPI000007,9.45,ld1
0.05,SLLL,MVPI000008,0.2058,ld1
0.05,SDUL,MVPI000009,0.3738,ld1
0.05,SSAT,MVPI000010,0.49455,ld1
0.05,SRGF,MVPI000011,0.945,ld1
0.05,SSKS,MVPI000012,0.4305,ld1
0.05,SBDM,MVPI000013,1.3965,ld1
0.05,SLOC,MVPI000014,1.785,ld1
0.05,SLCL,MVPI000015,52.5,ld1
0.05,SLSI,MVPI000016,7.35,ld1
0.05,SLNI,MVPI000017,0.1785,ld1
0.05,SLHW,MVPI000018,5.355,ld1
0.05,SCEC,MVPI000019,4.305,ld1
0.05,SLB,MVPI000007,37.8,ld2
0.05,SLLL,MVPI000008,0.20475,ld2
0.05,SDUL,MVPI000009,0.37485,ld2
0.05,SSAT,MVPI000010,0.525,ld2
0.05,SRGF,MVPI000011,1,ld2
0.05,SSKS,MVPI000012,0.651,ld2
0.05,SBDM,MVPI000013,1.323,ld2
0.05,SLOC,MVPI000014,1.26,ld2
0.05,SLCL,MVPI000015,54.6,ld2
0.05,SLSI,MVPI000016,9.45,ld2
0.05,SLNI,MVPI000017,0.126,ld2
0.05,SLHW,MVPI000018,5.145,ld2
0.05,SCEC,MVPI000019,3.675,ld2
0.05,SLB,MVPI000007,75.6,ld3
0.05,SLLL,MVPI000008,0.2415,ld3
0.05,SDUL,MVPI000009,0.3675,ld3
0.05,SSAT,MVPI000010,0.5838,ld3
0.05,SRGF,MVPI000011,0.84,ld3
0.05,SSKS,MVPI000012,1.3335,ld3
0.05,SBDM,MVPI000013,1.176,ld3
0.05,SLOC,MVPI000014,0.735,ld3
0.05,SLCL,MVPI000015,57.75,ld3
0.05,SLSI,MVPI000016,11.55,ld3
0.05,SLNI,MVPI000017,0.0735,ld3
0.05,SLHW,MVPI000018,5.04,ld3
0.05,SCEC,MVPI000019,1.89,ld3
0.05,SLB,MVPI000007,107.1,ld4
0.05,SLLL,MVPI000008,0.2247,ld4
0.05,SDUL,MVPI000009,0.3759,ld4
0.05,SSAT,MVPI000010,0.6237,ld4
0.05,SRGF,MVPI000011,0.525,ld4
0.05,SSKS,MVPI000012,1.6485,ld4
0.05,SBDM,MVPI000013,1.071,ld4
0.05,SLOC,MVPI000014,0.525,ld4
0.05,SLCL,MVPI000015,63,ld4
0.05,SLSI,MVPI000016,8.4,ld4
0.05,SLNI,MVPI000017,0.0525,ld4
0.05,SLHW,MVPI000018,5.25,ld4
0.05,SCEC,MVPI000019,1.89,ld4
0.05,SLB,MVPI000007,154.35,ld5
0.05,SLLL,MVPI000008,0.21945,ld5
0.05,SDUL,MVPI000009,0.36435,ld5
0.05,SSAT,MVPI000010,0.47775,ld5
0.05,SRGF,MVPI000011,0.21,ld5
0.05,SSKS,MVPI000012,0.399,ld5
0.05,SBDM,MVPI000013,1.47,ld5
0.05,SLOC,MVPI000014,0.315,ld5
0.05,SLCL,MVPI000015,61.95,ld5
0.05,SLSI,MVPI000016,8.4,ld5
0.05,SLNI,MVPI000017,0.0315,ld5
0.05,SLHW,MVPI000018,5.985,ld5
0.05,SCEC,MVPI000019,1.89,ld5
0.05,SLB,MVPI000007,183.75,ld6
0.05,SLLL,MVPI000008,0.21945,ld6
0.05,SDUL,MVPI000009,0.36435,ld6
0.05,SSAT,MVPI000010,0.47565,ld6
0.05,SRGF,MVPI000011,0.0525,ld6
0.05,SSKS,MVPI000012,0.3885,ld6
0.05,SBDM,MVPI000013,1.47,ld6
0.05,SLOC,MVPI000014,0.315,ld6
0.05,SLCL,MVPI000015,60.9,ld6
0.05,SLSI,MVPI000016,9.45,ld6
0.05,SLNI,MVPI000017,0.0315,ld6
0.05,SLHW,MVPI000018,5.985,ld6
0.05,SCEC,MVPI000019,1.155,ld6
0.1,SALB,MVPI000020,0.143,pd
0.1,SLU1,MVPI000021,8.8,pd
0.1,SLDR,MVPI000022,0.66,pd
0.1,SLRO,MVPI000023,82.5,pd
0.1,SLNF,MVPI000024,1,pd
0.1,SLPF,MVPI000025,1,pd
0.1,SLB,MVPI000026,9.9,ld1
0.1,SLLL,MVPI000027,0.2156,ld1
0.1,SDUL,MVPI000028,0.3916,ld1
0.1,SSAT,MVPI000029,0.5181,ld1
0.1,SRGF,MVPI000030,0.99,ld1
0.1,SSKS,MVPI000031,0.451,ld1
0.1,SBDM,MVPI000032,1.463,ld1
0.1,SLOC,MVPI000033,1.87,ld1
0.1,SLCL,MVPI000034,55,ld1
0.1,SLSI,MVPI000035,7.7,ld1
0.1,SLNI,MVPI000036,0.187,ld1
0.1,SLHW,MVPI000037,5.61,ld1
0.1,SCEC,MVPI000038,4.51,ld1
0.1,SLB,MVPI000026,39.6,ld2
0.1,SLLL,MVPI000027,0.2145,ld2
0.1,SDUL,MVPI000028,0.3927,ld2
0.1,SSAT,MVPI000029,0.55,ld2
0.1,SRGF,MVPI000030,1,ld2
0.1,SSKS,MVPI000031,0.682,ld2
0.1,SBDM,MVPI000032,1.386,ld2
0.1,SLOC,MVPI000033,1.32,ld2
0.1,SLCL,MVPI000034,57.2,ld2
0.1,SLSI,MVPI000035,9.9,ld2
0.1,SLNI,MVPI000036,0.132,ld2
0.1,SLHW,MVPI000037,5.39,ld2
0.1,SCEC,MVPI000038,3.85,ld2
0.1,SLB,MVPI000026,79.2,ld3
0.1,SLLL,MVPI000027,0.253,ld3
0.1,SDUL,MVPI000028,0.385,ld3
0.1,SSAT,MVPI000029,0.6116,ld3
0.1,SRGF,MVPI000030,0.88,ld3
0.1,SSKS,MVPI000031,1.397,ld3
0.1,SBDM,MVPI000032,1.232,ld3
0.1,SLOC,MVPI000033,0.77,ld3
0.1,SLCL,MVPI000034,60.5,ld3
0.1,SLSI,MVPI000035,12.1,ld3
0.1,SLNI,MVPI000036,0.077,ld3
0.1,SLHW,MVPI000037,5.28,ld3
0.1,SCEC,MVPI000038,1.98,ld3
0.1,SLB,MVPI000026,112.2,ld4
0.1,SLLL,MVPI000027,0.2354,ld4
0.1,SDUL,MVPI000028,0.3938,ld4
0.1,SSAT,MVPI000029,0.6534,ld4
0.1,SRGF,MVPI000030,0.55,ld4
0.1,SSKS,MVPI000031,1.727,ld4
0.1,SBDM,MVPI000032,1.122,ld4
0.1,SLOC,MVPI000033,0.55,ld4
0.1,SLCL,MVPI000034,66,ld4
0.1,SLSI,MVPI000035,8.8,ld4
0.1,SLNI,MVPI000036,0.055,ld4
0.1,SLHW,MVPI000037,5.5,ld4
0.1,SCEC,MVPI000038,1.98,ld4
0.1,SLB,MVPI000026,161.7,ld5
0.1,SLLL,MVPI000027,0.2299,ld5
0.1,SDUL,MVPI000028,0.3817,ld5
0.1,SSAT,MVPI000029,0.5005,ld5
0.1,SRGF,MVPI000030,0.22,ld5
0.1,SSKS,MVPI000031,0.418,ld5
0.1,SBDM,MVPI000032,1.54,ld5
0.1,SLOC,MVPI000033,0.33,ld5
0.1,SLCL,MVPI000034,64.9,ld5
0.1,SLSI,MVPI000035,8.8,ld5
0.1,SLNI,MVPI000036,0.033,ld5
0.1,SLHW,MVPI000037,6.27,ld5
0.1,SCEC,MVPI000038,1.98,ld5
0.1,SLB,MVPI000026,192.5,ld6
0.1,SLLL,MVPI000027,0.2299,ld6
0.1,SDUL,MVPI000028,0.3817,ld6
0.1,SSAT,MVPI000029,0.4983,ld6
0.1,SRGF,MVPI000030,0.055,ld6
0.1,SSKS,MVPI000031,0.407,ld6
0.1,SBDM,MVPI000032,1.54,ld6
0.1,SLOC,MVPI000033,0.33,ld6
0.1,SLCL,MVPI000034,63.8,ld6
0.1,SLSI,MVPI000035,9.9,ld6
0.1,SLNI,MVPI000036,0.033,ld6
0.1,SLHW,MVPI000037,6.27,ld6
0.1,SCEC,MVPI000038,1.21,ld6
0.25,SALB,MVPI000039,0.1625,pd
0.25,SLU1,MVPI000040,10,pd
0.25,SLDR,MVPI000041,0.75,pd
0.25,SLRO,MVPI000042,93.75,pd
0.25,SLNF,MVPI000043,1,pd
0.25,SLPF,MVPI000044,1,pd
0.25,SLB,MVPI000045,11.25,ld1
0.25,SLLL,MVPI000046,0.245,ld1
0.25,SDUL,MVPI000047,0.445,ld1
0.25,SSAT,MVPI000048,0.58875,ld1
0.25,SRGF,MVPI000049,1,ld1
0.25,SSKS,MVPI000050,0.5125,ld1
0.25,SBDM,MVPI000051,1.6625,ld1
0.25,SLOC,MVPI000052,2.125,ld1
0.25,SLCL,MVPI000053,62.5,ld1
0.25,SLSI,MVPI000054,8.75,ld1
0.25,SLNI,MVPI000055,0.2125,ld1
0.25,SLHW,MVPI000056,6.375,ld1
0.25,SCEC,MVPI000057,5.125,ld1
0.25,SLB,MVPI000045,45,ld2
0.25,SLLL,MVPI000046,0.24375,ld2
0.25,SDUL,MVPI000047,0.44625,ld2
0.25,SSAT,MVPI000048,0.625,ld2
0.25,SRGF,MVPI000049,1,ld2
0.25,SSKS,MVPI000050,0.775,ld2
0.25,SBDM,MVPI000051,1.575,ld2
0.25,SLOC,MVPI000052,1.5,ld2
0.25,SLCL,MVPI000053,65,ld2
0.25,SLSI,MVPI000054,11.25,ld2
0.25,SLNI,MVPI000055,0.15,ld2
0.25,SLHW,MVPI000056,6.125,ld2
0.25,SCEC,MVPI000057,4.375,ld2
0.25,SLB,MVPI000045,90,ld3
0.25,SLLL,MVPI000046,0.2875,ld3
0.25,SDUL,MVPI000047,0.4375,ld3
0.25,SSAT,MVPI000048,0.695,ld3
0.25,SRGF,MVPI000049,1,ld3
0.25,SSKS,MVPI000050,1.5875,ld3
0.25,SBDM,MVPI000051,1.4,ld3
0.25,SLOC,MVPI000052,0.875,ld3
0.25,SLCL,MVPI000053,68.75,ld3
0.25,SLSI,MVPI000054,13.75,ld3
0.25,SLNI,MVPI000055,0.0875,ld3
0.25,SLHW,MVPI000056,6,ld3
0.25,SCEC,MVPI000057,2.25,ld3
0.25,SLB,MVPI000045,127.5,ld4
0.25,SLLL,MVPI000046,0.2675,ld4
0.25,SDUL,MVPI000047,0.4475,ld4
0.25,SSAT,MVPI000048,0.7425,ld4
0.25,SRGF,MVPI000049,0.625,ld4
0.25,SSKS,MVPI000050,1.9625,ld4
0.25,SBDM,MVPI000051,1.275,ld4
0.25,SLOC,MVPI000052,0.625,ld4
0.25,SLCL,MVPI000053,75,ld4
0.25,SLSI,MVPI000054,10,ld4
0.25,SLNI,MVPI000055,0.0625,ld4
0.25,SLHW,MVPI000056,6.25,ld4
0.25,SCEC,MVPI000057,2.25,ld4
0.25,SLB,MVPI000045,183.75,ld5
0.25,SLLL,MVPI000046,0.26125,ld5
0.25,SDUL,MVPI000047,0.43375,ld5
0.25,SSAT,MVPI000048,0.56875,ld5
0.25,SRGF,MVPI000049,0.25,ld5
0.25,SSKS,MVPI000050,0.475,ld5
0.25,SBDM,MVPI000051,1.75,ld5
0.25,SLOC,MVPI000052,0.375,ld5
0.25,SLCL,MVPI000053,73.75,ld5
0.25,SLSI,MVPI000054,10,ld5
0.25,SLNI,MVPI000055,0.0375,ld5
0.25,SLHW,MVPI000056,7.125,ld5
0.25,SCEC,MVPI000057,2.25,ld5
0.25,SLB,MVPI000045,218.75,ld6
