Cultivar,Value,DAP,Type
CTC2,1.08,113,Stalk_height_m
CTC4,0.75,113,Stalk_height_m
CTC9,1.09,113,Stalk_height_m
CTC11,1.1,113,Stalk_height_m
CTC15,0.93,113,Stalk_height_m
CTC18,0.84,113,Stalk_height_m
IAC87-3396,1.04,113,Stalk_height_m
IAC91-1099,0.94,113,Stalk_height_m
IACSP93-3096,0.85,113,Stalk_height_m
IACSP94-2094,0.88,113,Stalk_height_m
IACSP94-2101,0.99,113,Stalk_height_m
IACSP95-5000,1,113,Stalk_height_m
RB867515,1.01,113,Stalk_height_m
RB92579,0.76,113,Stalk_height_m
RB966928,1.01,113,Stalk_height_m
SP86-0042,1.02,113,Stalk_height_m
CTC2,1.35,145,Stalk_height_m
CTC4,0.94,145,Stalk_height_m
CTC9,1.41,145,Stalk_height_m
CTC11,1.45,145,Stalk_height_m
CTC15,1.18,145,Stalk_height_m
CTC18,1.07,145,Stalk_height_m
IAC87-3396,1.28,145,Stalk_height_m
IAC91-1099,1.22,145,Stalk_height_m
IACSP93-3096,1.04,145,Stalk_height_m
IACSP94-2094,1.09,145,Stalk_height_m
IACSP94-2101,1.25,145,Stalk_height_m
IACSP95-5000,1.25,145,Stalk_height_m
RB867515,1.36,145,Stalk_height_m
RB92579,0.92,145,Stalk_height_m
RB966928,1.33,145,Stalk_height_m
SP86-0042,1.22,145,Stalk_height_m
CTC2,1.35,174,Stalk_height_m
CTC4,1.24,174,Stalk_height_m
CTC9,1.5,174,Stalk_height_m
CTC11,1.4,174,Stalk_height_m
CTC15,1.41,174,Stalk_height_m
CTC18,1.2,174,Stalk_height_m
IAC87-3396,1.36,174,Stalk_height_m
IAC91-1099,1.19,174,Stalk_height_m
IACSP93-3096,1.05,174,Stalk_height_m
IACSP94-2094,1.23,174,Stalk_height_m
IACSP94-2101,1.21,174,Stalk_height_m
IACSP95-5000,1.26,174,Stalk_height_m
RB867515,1.45,174,Stalk_height_m
RB92579,1.21,174,Stalk_height_m
RB966928,1.4,174,Stalk_height_m
SP86-0042,1.3,174,Stalk_height_m
CTC2,2.16,203,Stalk_height_m
CTC4,1.64,203,Stalk_height_m
CTC9,2.11,203,Stalk_height_m
CTC11,2.26,203,Stalk_height_m
CTC15,1.89,203,Stalk_height_m
CTC18,1.81,203,Stalk_height_m
IAC87-3396,1.93,203,Stalk_height_m
IAC91-1099,1.76,203,Stalk_height_m
IACSP93-3096,1.57,203,Stalk_height_m
IACSP94-2094,1.71,203,Stalk_height_m
