Par_orig,Par_Rscript,Rep_ID,Par_type,Par_size,File,Init_values,Calibrate,Calib_range_min,Calib_range_max,Calib_values
MaxPARCE,maxparce,<p1>,Real,14,.CUL,9.9,F,5,15,9.9
APFMX,apfmx,<p2>,Real,14,.CUL,0.88,F,0.6,0.95,0.88
STKPFMAX,stkpfmax,<p3>,Real,14,.CUL,0.65,F,0.5,0.8,0.65
SUCA,suca,<p4>,Real,14,.CUL,0.58,F,0.4,0.7,0.58
TBFT,tbft,<p5>,Real,14,.CUL,25,F,20,30,25
Tthalfo,tthalfo,<p6>,Real,14,.CUL,250,F,100,500,250
TBase,tbase,<p7>,Real,14,.CUL,16,F,12,22,16
LFMAX,lfmax,<p8>,Real,14,.CUL,12,F,6,16,12
MXLFAREA,mxlfarea,<p9>,Real,14,.CUL,450,F,250,800,450
MXLFARNO,mxlfarno,<p10>,Real,14,.CUL,15,F,10,20,15
PI1,pi1,<p11>,Real,14,.CUL,69,F,30,150,69
PI2,pi2,<p12>,Real,14,.CUL,169,F,80,250,169
PSWITCH,pswitch,<p13>,Real,14,.CUL,18,F,10,30,18
TTPLNTEM,ttplntem,<p14>,Real,14,.CUL,428,T,50,700,428
TTRATNEM,ttratem,<p15>,Real,14,.CUL,203,F,50,400,203
CHUPIBASE,chupibase,<p16>,Real,14,.CUL,1050,T,400,1500,1050
TT_POPGROWTH,tt_popgrowth,<p17>,Real,14,.CUL,600,F,200,900,600
MAX_POP,max_pop,<p18>,Real,14,.CUL,30,F,10,60,30
POPTT16,poptt16,<p19>,Real,14,.CUL,13.3,F,5,20,13.3
LG_AMBASE,lg_ambase,<p20>,Real,14,.CUL,220,F,150,350,220
DELTTMAX,delttmax,<p1>,Real,14,.ECO,0.07,F,0.03,0.12,0.07
SWDF2AMP,swdf2amp,<p2>,Real,14,.ECO,0.5,F,0.25,0.75,0.5
CS_CNREDUC,cs_cnreduc,<p3>,Real,14,.ECO,0.05,F,0.01,0.3,0.05
CS_CNPERIOD,cs_cnperiod,<p4>,Real,14,.ECO,7,F,3,15,7
Tthalfa,tthalfa,<p5>,Real,14,.ECO,125,F,75,200,125
dPERdT,dperdt,<p6>,Real,14,.ECO,0.4,T,0.1,0.8,0.4
EXTCFN,extcfn,<p7>,Real,14,.ECO,0.84,F,0.6,0.95,0.84
EXTCFST,extcfst,<p8>,Real,14,.ECO,0.84,F,0.2,0.9,0.84
LFNMXEXT,lfnmxext,<p9>,Real,14,.ECO,20,F,10,30,20
AREAMX_CF(1),areamx_cf1,<p10>,Real,13,.ECO,0,F,0,10,0
AREAMX_CF(2),areamx_cf2,<p11>,Real,14,.ECO,27.2,F,15,60,27.2
AREAMX_CF(3),areamx_cf3,<p12>,Real,14,.ECO,-20.8,F,-40,150,-20.8
WIDCOR,widcor,<p13>,Real,14,.ECO,1,F,0.5,1.5,1
WMAX_CF(1),wmax_cf1,<p14>,Real,14,.ECO,-0.0345,F,-0.2,-0.0001,-0.0345
WMAX_CF(2),wmax_cf2,<p15>,Real,14,.ECO,2.243,F,1,10,2.243
WMAX_CF(3),wmax_cf3,<p16>,Real,14,.ECO,7.75,F,1,15,7.75
POPCF(1),popcf1,<p17>,Real,14,.ECO,1.826,F,0.5,3,1.826
POPCF(2),popcf2,<p18>,Real,14,.ECO,0,F,-0.004,0.004,0
POPDECAY,popdecay,<p19>,Real,10,.ECO,0.004,F,0.002,0.006,0.004
TTBASEEM,ttbaseem,<p20>,Real,15,.ECO,10,F,6,16,10
TTBASELFEX,ttbaselfex,<p21>,Real,14,.ECO,10,F,6,16,10
TTBASEPOP,ttbasepop,<p22>,Real,14,.ECO,16,F,10,22,16
TBASEPER,tbaseper,<p23>,Real,13,.ECO,10.057,T,10,20,10.057
LG_AMRANGE,lg_amrange,<p24>,Real,14,.ECO,30,F,20,40,30
LG_GP_REDUC,lg_gp_reduc,<p25>,Real,14,.ECO,0.28,F,0.2,0.5,0.28
LDG_FI_REDUC,ldg_fi_reduc,<p26>,Real,14,.ECO,0.1,F,0.05,0.3,0.1
LMAX_CF(1),lmax_cf1,<p27>,Real,14,.ECO,-0.076,F,-0.7,-0.0001,-0.076
LMAX_CF(2),lmax_cf2,<p28>,Real,14,.ECO,12.2,F,3,20,12.2
LMAX_CF(3),lmax_cf3,<p29>,Real,14,.ECO,21.8,F,10,100,21.8
MAXLFLENGTH,maxlflength,<p30>,Real,14,.ECO,150,F,80,220,150
MAXLFWIDTH,maxlfwidth,<p31>,Real,14,.ECO,4.5,F,3,10,4.5
