scenario,var,id,val,pos
0.25,SALB,MVPI102502,0.175,pd
0.25,SLU1,MVPI102503,11.375,pd
0.25,SLDR,MVPI102504,0.25,pd
0.25,SLRO,MVPI102505,99.9,pd
0.25,SLNF,MVPI102506,1,pd
0.25,SLPF,MVPI102507,1,pd
0.25,SLB,MVPI102511,25,ld1
0.25,SLLL,MVPI102513,0.348,ld1
0.25,SDUL,MVPI102514,0.43625,ld1
0.25,SSAT,MVPI102515,0.6625,ld1
0.25,SRGF,MVPI102516,1,ld1
0.25,SSKS,MVPI102517,0.4875,ld1
0.25,SBDM,MVPI102518,1.5375,ld1
0.25,SLOC,MVPI102519,1.8375,ld1
0.25,SLCL,MVPI102520,81.25,ld1
0.25,SLSI,MVPI102521,18.75,ld1
0.25,SLCF,MVPI102522,0,ld1
0.25,SLNI,MVPI102523,0.15,ld1
0.25,SLHW,MVPI102524,6.25,ld1
0.25,SCEC,MVPI102526,13.5,ld1
0.25,SLB,MVPI102528,50,ld2
0.25,SLLL,MVPI102530,0.344,ld2
0.25,SDUL,MVPI102531,0.43125,ld2
0.25,SSAT,MVPI102532,0.6625,ld2
0.25,SRGF,MVPI102533,1,ld2
0.25,SSKS,MVPI102534,0.7875,ld2
0.25,SBDM,MVPI102535,1.4125,ld2
0.25,SLOC,MVPI102536,1.3875,ld2
0.25,SLCL,MVPI102537,81.25,ld2
0.25,SLSI,MVPI102538,21.25,ld2
0.25,SLCF,MVPI102539,0,ld2
0.25,SLNI,MVPI102540,0.125,ld2
0.25,SLHW,MVPI102541,6.875,ld2
0.25,SCEC,MVPI102543,11.5,ld2
0.25,SLB,MVPI102545,150,ld3
0.25,SLLL,MVPI102547,0.31,ld3
0.25,SDUL,MVPI102548,0.38875,ld3
0.25,SSAT,MVPI102549,0.6625,ld3
0.25,SRGF,MVPI102550,1,ld3
0.25,SSKS,MVPI102551,1.5125,ld3
0.25,SBDM,MVPI102552,1.35,ld3
0.25,SLOC,MVPI102553,1.125,ld3
0.25,SLCL,MVPI102554,77.5,ld3
0.25,SLSI,MVPI102555,20,ld3
0.25,SLCF,MVPI102556,0,ld3
0.25,SLNI,MVPI102557,0.1125,ld3
0.25,SLHW,MVPI102558,6.875,ld3
0.25,SCEC,MVPI102560,11.25,ld3
0.25,SLB,MVPI102562,187.5,ld4
0.25,SLLL,MVPI102564,0.31,ld4
0.25,SDUL,MVPI102565,0.38875,ld4
0.25,SSAT,MVPI102566,0.6625,ld4
